unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632265680,2021-09-21 23:08:00,BTC/USD,40556.64,40655.84,40548.85,40655.84,2.56958012,104468.43822590078
1632265620,2021-09-21 23:07:00,BTC/USD,40558.09,40674.52,40553.24,40624.78,1.02057674,41460.705535617206
1632265560,2021-09-21 23:06:00,BTC/USD,40506.90,40598.02,40498.93,40593.96,1.01426972,41173.224442891194
1632265500,2021-09-21 23:05:00,BTC/USD,40516.73,40516.73,40452.45,40483.55,3.04387000,123226.66333850002
1632265440,2021-09-21 23:04:00,BTC/USD,40492.08,40595.78,40492.08,40553.46,1.94371650,78824.42933409
1632265380,2021-09-21 23:03:00,BTC/USD,40667.11,40710.72,40490.00,40510.54,2.43257595,98544.965325513
1632265320,2021-09-21 23:02:00,BTC/USD,40615.22,40741.74,40591.38,40634.27,11.17516020,454094.476860054
1632265260,2021-09-21 23:01:00,BTC/USD,40481.79,40519.90,40425.32,40480.52,0.12651988,5121.5905327375995
1632265200,2021-09-21 23:00:00,BTC/USD,40487.89,40642.47,40450.94,40469.94,0.48893821,19787.300022407402
1632265140,2021-09-21 22:59:00,BTC/USD,40525.70,40561.91,40477.60,40493.31,10.18299944,412343.35305374634
1632265080,2021-09-21 22:58:00,BTC/USD,40635.82,40640.90,40547.38,40561.85,5.67674152,230259.138023012
1632265020,2021-09-21 22:57:00,BTC/USD,40787.01,40801.46,40596.74,40629.61,3.84407893,156183.4277351173
1632264960,2021-09-21 22:56:00,BTC/USD,40836.29,40868.98,40771.51,40787.01,3.43042221,139916.6649834921
1632264900,2021-09-21 22:55:00,BTC/USD,40771.67,40853.65,40771.67,40853.21,2.01547463,82338.6083090623
1632264840,2021-09-21 22:54:00,BTC/USD,40719.81,40800.97,40707.71,40794.04,6.00907353,245134.38594576123
1632264780,2021-09-21 22:53:00,BTC/USD,40855.93,40855.93,40743.06,40745.08,0.97778157,39839.7882921756
1632264720,2021-09-21 22:52:00,BTC/USD,40861.55,40894.92,40845.16,40879.47,0.06049571,2473.0325620737003
1632264660,2021-09-21 22:51:00,BTC/USD,40807.62,40874.61,40807.62,40825.96,0.04299656,1755.3758386976
1632264600,2021-09-21 22:50:00,BTC/USD,40893.60,40900.01,40750.00,40786.19,5.16966905,210851.10411041952
1632264540,2021-09-21 22:49:00,BTC/USD,40921.29,40974.37,40866.39,40866.39,3.80226124,155384.69071572358
1632264480,2021-09-21 22:48:00,BTC/USD,40943.42,41001.60,40943.42,40985.03,0.22852628,9366.1564415884
1632264420,2021-09-21 22:47:00,BTC/USD,40906.46,41003.87,40906.46,40951.77,5.87035394,240401.3843694738
1632264360,2021-09-21 22:46:00,BTC/USD,40986.65,40992.39,40910.00,40910.00,1.94213842,79452.8827622
1632264300,2021-09-21 22:45:00,BTC/USD,41030.74,41091.40,40976.54,40976.54,3.54330162,145192.2405639948
1632264240,2021-09-21 22:44:00,BTC/USD,41150.26,41150.26,41045.00,41045.00,0.64435009,26447.34944405
1632264180,2021-09-21 22:43:00,BTC/USD,41079.78,41131.37,41046.79,41131.37,1.54844921,63689.837382717706
1632264120,2021-09-21 22:42:00,BTC/USD,41115.42,41133.35,41072.63,41133.35,1.53859555,63287.58926659249
1632264060,2021-09-21 22:41:00,BTC/USD,41267.87,41279.44,41120.25,41142.23,0.80217872,33003.4213993456
1632264000,2021-09-21 22:40:00,BTC/USD,41035.67,41270.08,41026.21,41270.08,14.99043056,618656.2684456449
1632263940,2021-09-21 22:39:00,BTC/USD,40965.46,41048.08,40965.46,40984.40,1.42997824,58606.800179456004
1632263880,2021-09-21 22:38:00,BTC/USD,40991.63,41078.81,40921.58,40921.58,1.85788948,76027.77298697841
1632263820,2021-09-21 22:37:00,BTC/USD,40915.06,40991.58,40915.06,40991.58,1.49023276,61086.995400160806
1632263760,2021-09-21 22:36:00,BTC/USD,40926.29,41008.10,40914.99,40914.99,1.42731355,58398.519625114495
1632263700,2021-09-21 22:35:00,BTC/USD,40983.52,41001.17,40911.47,40978.83,1.57168522,64405.8214438926
1632263640,2021-09-21 22:34:00,BTC/USD,41008.43,41019.27,40955.58,41014.29,0.16920115,6939.6650344335
1632263580,2021-09-21 22:33:00,BTC/USD,40999.37,41013.08,40916.39,41006.17,0.90212349,36992.6291919333
1632263520,2021-09-21 22:32:00,BTC/USD,40886.61,41000.02,40886.61,41000.02,2.13184434,87405.66057688679
1632263460,2021-09-21 22:31:00,BTC/USD,41136.41,41136.41,40886.07,40925.73,2.48700826,101782.62855652982
1632263400,2021-09-21 22:30:00,BTC/USD,41164.06,41166.88,41103.81,41156.14,0.98847662,40681.8821594468
1632263340,2021-09-21 22:29:00,BTC/USD,41139.51,41209.74,41118.26,41209.74,1.39790586,57607.3370350764
1632263280,2021-09-21 22:28:00,BTC/USD,41124.54,41136.00,41015.41,41132.01,2.66595330,109656.017795133
1632263220,2021-09-21 22:27:00,BTC/USD,41188.02,41190.81,41120.00,41139.58,2.98618033,122850.2045804614
1632263160,2021-09-21 22:26:00,BTC/USD,41218.63,41223.19,41121.44,41181.38,3.50706363,144425.7200312094
1632263100,2021-09-21 22:25:00,BTC/USD,41285.20,41329.18,41199.79,41240.69,6.68164759,275555.75694843713
1632263040,2021-09-21 22:24:00,BTC/USD,41251.94,41312.04,41251.94,41278.42,1.86456099,76966.1316608358
1632262980,2021-09-21 22:23:00,BTC/USD,41216.73,41307.92,41177.50,41307.92,1.51114000,62422.05022879999
1632262920,2021-09-21 22:22:00,BTC/USD,41250.64,41283.68,41174.57,41283.68,1.46545352,60499.314174553605
1632262860,2021-09-21 22:21:00,BTC/USD,41346.80,41379.46,41250.64,41250.64,1.98538362,81898.34497051679
1632262800,2021-09-21 22:20:00,BTC/USD,41462.52,41470.44,41294.28,41330.46,15.88038148,656343.4715438808
1632262740,2021-09-21 22:19:00,BTC/USD,41521.07,41598.20,41500.00,41500.00,2.92815901,121518.598915
1632262680,2021-09-21 22:18:00,BTC/USD,41605.08,41607.66,41474.65,41474.65,2.01301755,83489.1983301075
1632262620,2021-09-21 22:17:00,BTC/USD,41591.40,41655.89,41532.62,41581.40,4.43167571,184275.280367794
1632262560,2021-09-21 22:16:00,BTC/USD,41504.58,41613.59,41470.58,41586.65,3.30057969,137260.05236513852
1632262500,2021-09-21 22:15:00,BTC/USD,41474.04,41556.02,41450.97,41504.54,0.85010614,35283.264291875596
1632262440,2021-09-21 22:14:00,BTC/USD,41474.27,41583.87,41424.21,41474.04,2.93188049,121596.9287174796
1632262380,2021-09-21 22:13:00,BTC/USD,41428.34,41474.27,41384.77,41466.47,2.18683812,90680.4572978364
